X_channel Y_channel II_channel timestamp
0.02675868 3695.027 0.0 0.0
0.02675808 3695.26 0.0 0.183
0.02675794 3695.42 0.0 0.366
0.02675809 3696.06 0.0 0.548
0.02675817 3696.693 0.0 0.727
0.02675806 3697.33 0.0 0.908
0.0267581 3698.127 0.0 1.086
0.02675872 3698.6 0.0 1.268
0.02675812 3698.84 0.0 1.449
0.02675794 3698.92 0.0 1.628
0.0267582 3699.477 0.0 1.808
0.02675846 3700.03 0.0 1.988
0.02675822 3700.03 0.0 2.17
0.02675762 3700.11 0.0 2.347
0.02674516 3700.747 0.0 2.529
0.02674241 3701.7 0.0 2.71
0.02672556 3702.34 0.0 2.894
0.02671873 3702.42 0.0 3.077
0.02670603 3702.1 0.0 3.262
0.02669562 3701.46 0.0 3.447
0.02668535 3701.3 0.0 3.627
0.02667164 3701.46 0.0 3.81
0.02666614 3701.54 0.0 3.991
0.0266479 3701.86 0.0 4.174
0.02664294 3701.94 0.0 4.358
0.02662409 3701.94 0.0 4.54
0.02661994 3702.26 0.0 4.721
0.02660237 3703.767 0.0 4.899
0.02659618 3705.437 0.0 5.08
0.02658278 3706.55 0.0 5.26
0.02657196 3707.423 0.0 5.442
0.02656223 3707.98 0.0 5.621
0.02654772 3708.46 0.0 5.801
0.02654156 3709.33 0.0 5.982
0.02652371 3710.127 0.0 6.162
0.0265199 3710.92 0.0 6.346
0.02650012 3711.0 0.0 6.525
0.02649581 3711.4 0.0 6.707
0.02647969 3712.19 0.0 6.888
0.02647124 3712.75 0.0 7.071
0.02645765 3712.91 0.0 7.251
0.02644624 3713.147 0.0 7.433
0.02643974 3713.07 0.0 7.614
0.02642234 3712.99 0.0 7.794
0.0264158 3713.38 0.0 7.977
0.02639739 3713.94 0.0 8.157
0.02639346 3714.657 0.0 8.339
0.02637387 3715.37 0.0 8.52
0.02636881 3716.09 0.0 8.699
0.02635325 3716.48 0.0 8.88
0.02634417 3716.25 0.0 9.063
0.0263312 3716.483 0.0 9.245
0.026319 3717.12 0.0 9.426
0.02631037 3717.677 0.0 9.609
0.02629402 3718.15 0.0 9.793
0.02628789 3718.71 0.0 9.976
0.02626913 3719.11 0.0 10.16
0.02626546 3719.187 0.0 10.342
0.02624549 3719.11 0.0 10.523
0.02624027 3719.11 0.0 10.706
0.02622314 3718.87 0.0 10.89
0.0262149 3718.47 0.0 11.07
0.02620226 3717.99 0.0 11.249
0.02618907 3718.39 0.0 11.428
0.02618198 3719.503 0.0 11.608
0.02616446 3720.3 0.0 11.788
0.02615918 3720.38 0.0 11.968
0.02614018 3720.54 0.0 12.147
0.02613616 3721.33 0.0 12.327
0.02611706 3721.33 0.0 12.508
0.02611079 3721.25 0.0 12.689
0.02609622 3721.73 0.0 12.873
0.02608455 3722.287 0.0 13.054
0.02607421 3722.92 0.0 13.233
0.02605995 3722.68 0.0 13.412
0.02605186 3722.44 0.0 13.595
0.02603365 3722.6 0.0 13.775
0.02602979 3722.287 0.0 13.955
0.02600958 3721.65 0.0 14.139
0.02600464 3721.49 0.0 14.319
0.02598717 3721.97 0.0 14.496
0.02597926 3722.287 0.0 14.674
0.02596485 3722.92 0.0 14.859
0.02595316 3722.92 0.0 15.044
0.02594339 3723.08 0.0 15.226
0.02592738 3723.48 0.0 15.412
0.02592006 3724.11 0.0 15.593
0.02590205 3724.27 0.0 15.775
0.02589685 3723.557 0.0 15.955
0.02587711 3722.84 0.0 16.132
0.02587249 3722.68 0.0 16.315
0.02585436 3722.92 0.0 16.498
0.02584544 3722.92 0.0 16.678
0.02583199 3722.68 0.0 16.861
0.02582013 3722.92 0.0 17.045
0.02580916 3723.0 0.0 17.225
0.02579322 3723.953 0.0 17.405
0.02578764 3725.147 0.0 17.589
0.02576842 3725.463 0.0 17.768
0.02576385 3725.463 0.0 17.952
0.0257429 3726.5 0.0 18.134
0.0257378 3727.77 0.0 18.314
0.02572368 3728.64 0.0 18.491
0.02571166 3729.28 0.0 18.671
0.02569844 3729.28 0.0 18.852
0.02568467 3728.88 0.0 19.035
0.02567576 3728.167 0.0 19.217
0.02565889 3728.403 0.0 19.4
0.02565208 3729.28 0.0 19.58
0.02563255 3730.55 0.0 19.763
