X_channel Y_channel II_channel timestamp
0.02675216 3992.59 0.0 0.0
0.02675224 3992.907 0.0 0.166
0.02675235 3993.14 0.0 0.333
0.02675286 3993.3 0.0 0.514
0.02675217 3993.22 0.0 0.692
0.02675194 3993.06 0.0 0.872
0.02674993 3992.983 0.0 1.051
0.02674496 3992.983 0.0 1.235
0.02673822 3993.06 0.0 1.417
0.02672428 3992.983 0.0 1.599
0.02671552 3992.59 0.0 1.778
0.02669566 3992.35 0.0 1.96
0.02669104 3992.19 0.0 2.141
0.02667572 3992.67 0.0 2.32
0.02666675 3993.3 0.0 2.499
0.02665379 3993.62 0.0 2.679
0.02664219 3994.1 0.0 2.867
0.02663712 3994.26 0.0 3.049
0.02661932 3994.26 0.0 3.226
0.02661358 3994.653 0.0 3.406
0.02659501 3995.847 0.0 3.589
0.02659159 3995.927 0.0 3.769
0.02657268 3994.97 0.0 3.951
0.02656693 3994.73 0.0 4.132
0.026551 3995.21 0.0 4.311
0.02654254 3995.85 0.0 4.491
0.02653193 3996.163 0.0 4.671
0.0265185 3996.4 0.0 4.85
0.02651066 3996.163 0.0 5.03
0.0264939 3995.93 0.0 5.213
0.02648801 3995.93 0.0 5.397
0.02646974 3995.93 0.0 5.58
0.02646648 3995.93 0.0 5.763
0.02644822 3995.93 0.0 5.944
0.02644101 3996.007 0.0 6.131
0.02642657 3996.4 0.0 6.311
0.02641666 3996.163 0.0 6.493
0.02640792 3995.93 0.0 6.674
0.02639203 3995.45 0.0 6.853
0.02638261 3994.73 0.0 7.037
0.02636716 3995.13 0.0 7.219
0.02636211 3995.61 0.0 7.396
0.02634319 3996.4 0.0 7.575
0.02633869 3996.88 0.0 7.758
0.02631939 3997.593 0.0 7.939
0.02631406 3997.75 0.0 8.121
0.02629833 3996.72 0.0 8.302
0.02628867 3996.4 0.0 8.488
0.02627704 3996.4 0.0 8.673
0.026264 3996.48 0.0 8.851
0.02625579 3996.8 0.0 9.032
0.02623871 3997.2 0.0 9.212
0.02623485 3997.83 0.0 9.396
0.0262151 3998.707 0.0 9.575
0.02620998 3999.02 0.0 9.758
0.02619114 3999.02 0.0 9.938
0.0261847 3999.18 0.0 10.121
0.02616887 3999.98 0.0 10.301
0.0261591 4000.773 0.0 10.485
0.02614737 4001.33 0.0 10.668
0.02613364 4001.41 0.0 10.848
0.02612603 4001.25 0.0 11.03
0.02610887 4001.25 0.0 11.211
0.02610399 4001.887 0.0 11.393
0.02608399 4002.52 0.0 11.575
0.02607954 4002.6 0.0 11.754
0.02606101 4002.84 0.0 11.935
0.02605389 4002.84 0.0 12.113
0.02604036 4002.52 0.0 12.295
0.02602822 4002.44 0.0 12.476
0.02601714 4002.68 0.0 12.656
0.02600238 4002.84 0.0 12.839
0.02599562 4003.16 0.0 13.021
0.02597683 4003.63 0.0 13.201
0.02597307 4004.27 0.0 13.382
0.02595296 4004.75 0.0 13.564
0.02594741 4004.27 0.0 13.745
0.02592934 4003.157 0.0 13.928
0.02592224 4002.6 0.0 14.108
0.02590811 4002.28 0.0 14.288
0.02588786 4001.01 0.0 14.636
0.02587029 4000.93 0.0 14.825
0.02586381 4000.93 0.0 15.006
0.02584514 4001.41 0.0 15.184
0.02584107 4001.89 0.0 15.365
0.02581965 4001.89 0.0 15.545
0.0258147 4001.89 0.0 15.727
0.02579929 4001.967 0.0 15.907
0.02578848 4002.52 0.0 16.088
0.02577588 4002.6 0.0 16.269
0.02576235 4002.36 0.0 16.447
0.0257539 4001.65 0.0 16.628
0.02573595 4000.93 0.0 16.807
0.02570785 4001.887 0.0 17.234
0.02570156 4002.28 0.0 17.414
0.02568217 4001.73 0.0 17.594
0.0256778 4001.65 0.0 17.778
0.02565808 4001.65 0.0 17.959
0.0256524 4001.65 0.0 18.138
0.02563632 4001.49 0.0 18.318
0.02562616 4001.17 0.0 18.498
0.02561239 4001.25 0.0 18.681
0.02559884 4001.49 0.0 18.865
0.02558945 4002.123 0.0 19.044
0.02557293 4002.36 0.0 19.228
0.02556746 4002.6 0.0 19.41
0.02554714 4002.76 0.0 19.587
0.02554196 4003.633 0.0 19.767
0.02552178 4004.67 0.0 19.95
0.02551551 4004.35 0.0 20.13
0.02549817 4003.157 0.0 20.314
0.02548826 4002.6 0.0 20.497
0.02547628 4002.68 0.0 20.679
0.02546154 4003.393 0.0 20.859
0.02545282 4003.87 0.0 21.041
0.02543488 4003.55 0.0 21.222
0.02542893 4003.95 0.0 21.404
0.02540891 4004.67 0.0 21.584
0.02540448 4004.19 0.0 21.764
0.02538532 4003.63 0.0 21.945
0.02537788 4004.19 0.0 22.131
0.02536102 4004.987 0.0 22.313
